City,DisasterType,WeatherCondition,Year,TemperatureC,RainfallMM
Pune,Landslide,Clear,2020,39,280
Dehradun,Stampede,Clear,2010,32,284
Bangalore,Flood,Monsoon Rain,2023,44,312
Visakhapatnam,Industrial Accident,Clear,2024,39,175
Hyderabad,Fire,High Humidity,2013,38,212
Dehradun,Stampede,Extreme Heat,2006,34,321
Kochi,Building Collapse,Thunderstorm,2016,33,150
Delhi,Heatwave,Heavy Rain,2023,20,34
Visakhapatnam,Fire,Cloudy,2008,35,103
Lucknow,Landslide,Dry Heat,2024,41,313
Surat,Heatwave,High Humidity,2016,31,192
Pune,Fire,Extreme Heat,2018,26,54
Kochi,Flood,Extreme Heat,2018,38,211
Kochi,Fire,Extreme Heat,2009,28,125
Bhopal,Flood,Dry Heat,2002,25,355
Delhi,Landslide,Extreme Heat,2024,23,332
Surat,Industrial Accident,Monsoon Rain,2007,35,64
Ahmedabad,Heatwave,Monsoon Rain,2013,37,314
Mumbai,Stampede,High Humidity,2022,37,87
Bangalore,Industrial Accident,Clear,2000,31,278
Delhi,Industrial Accident,Dry Heat,2016,31,398
Jaipur,Earthquake,Thunderstorm,2007,19,236
Nagpur,Cyclone,High Humidity,2010,41,220
Bhopal,Cyclone,High Humidity,2005,30,270
Hyderabad,Earthquake,Monsoon Rain,2018,21,166
Ranchi,Landslide,Dry Heat,2019,42,34
Lucknow,Landslide,High Humidity,2024,24,66
Nagpur,Earthquake,Extreme Heat,2012,42,126
Nagpur,Stampede,Monsoon Rain,2018,23,153
Nagpur,Cyclone,Clear,2011,22,305
Delhi,Industrial Accident,High Humidity,2001,37,21
Kochi,Flood,Extreme Heat,2013,19,198
Ahmedabad,Landslide,Clear,2019,31,153
Chennai,Fire,Storm,2006,22,185
Patna,Fire,High Humidity,2015,40,217
Patna,Stampede,Storm,2013,21,351
Ranchi,Earthquake,Monsoon Rain,2015,22,294
Jaipur,Cyclone,Storm,2012,22,76
Jaipur,Building Collapse,Heavy Rain,2013,29,223
Visakhapatnam,Cyclone,Monsoon Rain,2024,29,68
Dehradun,Fire,Extreme Heat,2023,25,215
Mumbai,Cyclone,High Humidity,2022,25,40
Ranchi,Heatwave,Heavy Rain,2004,26,238
Jaipur,Stampede,Extreme Heat,2021,33,179
Shimla,Cyclone,High Humidity,2010,31,264
Mumbai,Industrial Accident,Monsoon Rain,2007,24,250
Kolkata,Heatwave,Dry Heat,2016,19,351
Chennai,Heatwave,Monsoon Rain,2020,24,129
Pune,Cyclone,Clear,2013,22,7
Chennai,Landslide,Cloudy,2016,41,138
Chennai,Flood,Clear,2014,41,48
Dehradun,Industrial Accident,Clear,2021,23,6
Kolkata,Cyclone,High Humidity,2005,23,383
Kolkata,Earthquake,Dry Heat,2022,40,74
Ahmedabad,Fire,Thunderstorm,2012,26,272
Kolkata,Stampede,Monsoon Rain,2007,21,222
Visakhapatnam,Heatwave,Monsoon Rain,2002,40,301
Lucknow,Heatwave,Storm,2017,28,339
Surat,Landslide,Monsoon Rain,2021,18,4
Jaipur,Building Collapse,Storm,2004,18,219
Shimla,Earthquake,Cloudy,2004,25,7
Guwahati,Building Collapse,High Humidity,2008,20,73
Nagpur,Fire,Clear,2019,24,68
Surat,Building Collapse,Storm,2023,34,263
Mumbai,Building Collapse,Thunderstorm,2016,27,287
Kochi,Building Collapse,Clear,2011,39,141
Shimla,Flood,Storm,2013,24,79
Shimla,Flood,Clear,2010,28,40
Kochi,Fire,Heavy Rain,2002,26,76
Surat,Industrial Accident,Extreme Heat,2011,36,190
Nagpur,Landslide,Extreme Heat,2004,28,146
Surat,Stampede,Dry Heat,2020,34,359
Hyderabad,Flood,Storm,2006,41,113
Hyderabad,Landslide,Dry Heat,2020,42,22
Lucknow,Stampede,Heavy Rain,2002,19,304
Chennai,Building Collapse,Thunderstorm,2015,23,396
Kochi,Earthquake,Heavy Rain,2013,43,256
Kolkata,Heatwave,Monsoon Rain,2012,24,194
Jaipur,Fire,Extreme Heat,2018,37,340
Surat,Building Collapse,Clear,2023,45,195
Ranchi,Cyclone,Clear,2011,22,143
Nagpur,Flood,Monsoon Rain,2018,27,332
Bangalore,Stampede,Extreme Heat,2000,27,354
Lucknow,Industrial Accident,Monsoon Rain,2017,38,399
Jaipur,Landslide,Heavy Rain,2016,40,120
Lucknow,Heatwave,Dry Heat,2008,29,287
Kochi,Heatwave,Thunderstorm,2013,37,266
Bangalore,Industrial Accident,Storm,2001,45,227
Ranchi,Fire,High Humidity,2016,42,207
Visakhapatnam,Cyclone,Cloudy,2021,44,246
Pune,Heatwave,High Humidity,2001,19,347
Ranchi,Stampede,Dry Heat,2020,36,317
Delhi,Landslide,Thunderstorm,2016,42,264
Guwahati,Industrial Accident,Monsoon Rain,2014,26,90
Hyderabad,Stampede,High Humidity,2000,39,364
Kolkata,Heatwave,Cloudy,2013,30,53
Visakhapatnam,Cyclone,Thunderstorm,2001,36,197
Bangalore,Building Collapse,High Humidity,2004,42,135
Patna,Landslide,Cloudy,2022,38,318
Kolkata,Flood,Cloudy,2001,27,389
Guwahati,Stampede,Cloudy,2012,24,369
Bangalore,Landslide,Clear,2014,44,88
Ahmedabad,Building Collapse,Clear,2009,36,252
Shimla,Building Collapse,High Humidity,2000,20,340
Bhopal,Flood,Storm,2009,37,183
Guwahati,Flood,Storm,2020,19,234
Mumbai,Fire,Clear,2010,24,50
Chennai,Building Collapse,Extreme Heat,2015,27,186
Bhopal,Landslide,Cloudy,2011,32,36
Kochi,Fire,Thunderstorm,2016,27,319
Surat,Cyclone,Monsoon Rain,2019,24,277
Dehradun,Building Collapse,Monsoon Rain,2018,44,82
Ranchi,Industrial Accident,Thunderstorm,2015,23,368
Dehradun,Heatwave,Thunderstorm,2017,33,76
Pune,Industrial Accident,Clear,2022,22,82
Jaipur,Fire,Clear,2008,44,310
Delhi,Earthquake,Dry Heat,2007,24,336
Kolkata,Cyclone,Dry Heat,2020,44,161
Nagpur,Cyclone,Extreme Heat,2008,25,37
Bangalore,Heatwave,Dry Heat,2007,21,298
Dehradun,Fire,Monsoon Rain,2014,26,330
Kolkata,Fire,Heavy Rain,2007,26,394
Shimla,Stampede,Monsoon Rain,2016,27,195
Hyderabad,Landslide,Cloudy,2015,40,2
Pune,Flood,High Humidity,2021,28,304
Guwahati,Heatwave,High Humidity,2015,31,172
Kolkata,Heatwave,Cloudy,2002,30,156
Delhi,Cyclone,Extreme Heat,2021,42,225
Hyderabad,Stampede,Dry Heat,2022,39,52
Ahmedabad,Earthquake,Storm,2013,22,21
Guwahati,Building Collapse,Monsoon Rain,2020,29,108
Surat,Heatwave,Thunderstorm,2000,21,358
Ranchi,Landslide,High Humidity,2000,34,341
Pune,Building Collapse,Clear,2010,35,320
Ranchi,Cyclone,Cloudy,2022,23,236
Kochi,Cyclone,Clear,2015,30,65
Delhi,Stampede,Cloudy,2014,37,57
Lucknow,Landslide,Thunderstorm,2021,18,146
Lucknow,Heatwave,Storm,2000,20,330
Delhi,Stampede,Extreme Heat,2024,25,59
Mumbai,Fire,Extreme Heat,2009,33,188
Bangalore,Landslide,Dry Heat,2007,36,109
Nagpur,Stampede,Extreme Heat,2001,22,27
Pune,Landslide,Dry Heat,2011,22,173
Mumbai,Cyclone,Monsoon Rain,2022,32,155
Kochi,Flood,Monsoon Rain,2010,23,187
Surat,Industrial Accident,Heavy Rain,2024,25,36
Lucknow,Flood,High Humidity,2022,44,141
Pune,Stampede,Extreme Heat,2020,32,207
Kolkata,Fire,High Humidity,2004,28,193
Ranchi,Cyclone,Heavy Rain,2014,35,273
Guwahati,Fire,Dry Heat,2000,20,350
Patna,Building Collapse,High Humidity,2006,41,161
Jaipur,Earthquake,Heavy Rain,2011,31,60
Visakhapatnam,Heatwave,Heavy Rain,2003,19,1
Patna,Landslide,Dry Heat,2021,26,140
Visakhapatnam,Building Collapse,Heavy Rain,2012,30,170
Mumbai,Cyclone,Monsoon Rain,2008,39,81
Mumbai,Industrial Accident,Extreme Heat,2012,44,206
Kochi,Industrial Accident,High Humidity,2023,31,331
Surat,Heatwave,Monsoon Rain,2015,45,297
Bhopal,Earthquake,Dry Heat,2005,18,99
Chennai,Cyclone,Heavy Rain,2021,23,202
Surat,Landslide,Thunderstorm,2014,30,395
Mumbai,Heatwave,Clear,2015,32,15
Lucknow,Heatwave,High Humidity,2012,18,5
Nagpur,Fire,High Humidity,2018,39,359
Chennai,Fire,Clear,2002,31,113
Bangalore,Industrial Accident,Heavy Rain,2018,39,160
Ahmedabad,Building Collapse,Thunderstorm,2024,38,42
Shimla,Earthquake,Heavy Rain,2001,22,115
Ahmedabad,Fire,Extreme Heat,2017,41,32
Visakhapatnam,Earthquake,High Humidity,2020,44,360
Pune,Landslide,Thunderstorm,2007,36,350
Delhi,Industrial Accident,Cloudy,2004,25,321
Dehradun,Industrial Accident,Clear,2002,41,172
Pune,Flood,Heavy Rain,2023,31,121
Chennai,Earthquake,Heavy Rain,2018,35,338
Lucknow,Fire,Clear,2014,36,224
Pune,Industrial Accident,Heavy Rain,2023,36,247
Kolkata,Cyclone,Storm,2003,32,258
Bangalore,Stampede,Thunderstorm,2003,20,391
Mumbai,Cyclone,Dry Heat,2015,43,260
Kolkata,Building Collapse,Dry Heat,2008,21,65
Jaipur,Earthquake,High Humidity,2006,24,391
Pune,Cyclone,Heavy Rain,2022,34,282
Kolkata,Landslide,Heavy Rain,2014,25,282
Jaipur,Industrial Accident,Thunderstorm,2016,37,186
Ranchi,Cyclone,Storm,2024,18,63
Bangalore,Landslide,Cloudy,2010,19,153
Guwahati,Cyclone,Clear,2024,39,389
Nagpur,Flood,Cloudy,2018,36,314
Hyderabad,Heatwave,Cloudy,2004,23,135
Nagpur,Building Collapse,Thunderstorm,2022,40,241
Delhi,Cyclone,Dry Heat,2005,36,47
Nagpur,Industrial Accident,Dry Heat,2023,33,101
Ahmedabad,Flood,Cloudy,2011,41,212
Bhopal,Stampede,High Humidity,2022,30,387
Ranchi,Landslide,Cloudy,2014,32,185
Mumbai,Heatwave,Dry Heat,2014,27,344
Pune,Fire,Cloudy,2012,29,41
Hyderabad,Earthquake,Cloudy,2022,28,70
Lucknow,Earthquake,Monsoon Rain,2000,40,235
Chennai,Earthquake,Dry Heat,2009,41,188
Lucknow,Industrial Accident,Thunderstorm,2008,44,191
Chennai,Heatwave,Cloudy,2023,33,399
Kolkata,Cyclone,Monsoon Rain,2004,22,50
Nagpur,Flood,High Humidity,2002,19,359
Jaipur,Flood,Cloudy,2011,21,397
Ahmedabad,Industrial Accident,High Humidity,2012,43,124
Mumbai,Heatwave,Heavy Rain,2005,35,128
Ranchi,Earthquake,Thunderstorm,2005,40,198
Bangalore,Cyclone,Extreme Heat,2000,37,111
Lucknow,Flood,Clear,2002,29,23
Pune,Industrial Accident,Extreme Heat,2007,29,386
Patna,Earthquake,Heavy Rain,2004,21,111
Nagpur,Heatwave,Monsoon Rain,2021,41,187
Chennai,Landslide,Thunderstorm,2010,37,92
Ranchi,Cyclone,Heavy Rain,2007,33,190
Shimla,Stampede,Extreme Heat,2007,42,286
Pune,Stampede,Monsoon Rain,2023,22,2
Chennai,Stampede,Storm,2024,41,224
Ranchi,Cyclone,Thunderstorm,2010,45,214
Kolkata,Fire,Extreme Heat,2022,23,384
Kochi,Building Collapse,Storm,2002,45,26
Ahmedabad,Landslide,Dry Heat,2018,21,185
Kochi,Fire,Extreme Heat,2005,30,49
Delhi,Stampede,Storm,2007,18,393
Patna,Heatwave,Cloudy,2023,45,250
Bhopal,Landslide,Extreme Heat,2011,23,78
Pune,Heatwave,Extreme Heat,2013,44,181
Delhi,Heatwave,Cloudy,2019,34,308
Kolkata,Building Collapse,Storm,2020,21,330
Kochi,Building Collapse,Dry Heat,2007,18,254
Jaipur,Heatwave,Storm,2000,30,113
Lucknow,Landslide,Thunderstorm,2009,23,230
Chennai,Landslide,Thunderstorm,2020,41,238
Lucknow,Landslide,Heavy Rain,2014,34,235
Ahmedabad,Flood,Extreme Heat,2010,20,339
Chennai,Industrial Accident,Heavy Rain,2010,41,41
Bhopal,Heatwave,Extreme Heat,2010,24,92
Pune,Landslide,Extreme Heat,2013,43,159
Nagpur,Landslide,Dry Heat,2008,35,174
Kolkata,Building Collapse,Storm,2004,34,108
Nagpur,Heatwave,Heavy Rain,2010,28,287
Lucknow,Earthquake,Clear,2016,45,136
Ahmedabad,Building Collapse,Thunderstorm,2009,38,25
Nagpur,Industrial Accident,Heavy Rain,2002,29,82
Patna,Earthquake,Storm,2003,32,239
Jaipur,Cyclone,Heavy Rain,2001,24,70
Surat,Stampede,Dry Heat,2002,40,196
Surat,Heatwave,Dry Heat,2007,45,215
Ahmedabad,Earthquake,Dry Heat,2012,35,387
Bhopal,Industrial Accident,Dry Heat,2015,38,217
Pune,Building Collapse,Monsoon Rain,2023,26,316
Nagpur,Cyclone,Dry Heat,2004,44,360
Bhopal,Stampede,Cloudy,2017,25,91
Kochi,Heatwave,Clear,2020,44,329
Ranchi,Building Collapse,High Humidity,2002,27,361
Lucknow,Flood,High Humidity,2005,44,104
Kolkata,Flood,High Humidity,2013,45,306
Dehradun,Building Collapse,Dry Heat,2013,18,42
Guwahati,Heatwave,Cloudy,2002,19,303
Ranchi,Stampede,Cloudy,2004,31,194
Jaipur,Industrial Accident,Clear,2002,37,282
Lucknow,Fire,Monsoon Rain,2008,42,137
Pune,Cyclone,Cloudy,2014,19,123
Shimla,Flood,Clear,2017,29,170
Kochi,Heatwave,Dry Heat,2020,22,285
Ahmedabad,Landslide,Clear,2014,27,64
Visakhapatnam,Earthquake,Extreme Heat,2011,44,342
Kochi,Flood,High Humidity,2001,27,163
Ahmedabad,Building Collapse,Monsoon Rain,2005,27,325
Kochi,Stampede,Storm,2009,18,70
Kochi,Fire,Heavy Rain,2002,26,400
Chennai,Heatwave,Clear,2006,43,104
Mumbai,Industrial Accident,Monsoon Rain,2022,38,313
Patna,Landslide,Clear,2016,32,88
Bangalore,Fire,Extreme Heat,2021,21,115
Ahmedabad,Industrial Accident,Heavy Rain,2021,37,111
Dehradun,Landslide,Monsoon Rain,2024,39,152
Dehradun,Cyclone,Cloudy,2013,18,67
Patna,Fire,Storm,2001,29,230
Guwahati,Cyclone,Thunderstorm,2021,38,84
Dehradun,Fire,Clear,2009,38,377
Hyderabad,Landslide,Thunderstorm,2009,44,327
Pune,Earthquake,Cloudy,2000,43,275
Ranchi,Flood,Dry Heat,2007,19,253
Lucknow,Industrial Accident,High Humidity,2017,25,391
Delhi,Fire,Dry Heat,2003,34,200
Patna,Earthquake,Heavy Rain,2012,36,5
Mumbai,Landslide,High Humidity,2019,20,248
Ranchi,Heatwave,Extreme Heat,2024,28,60
Dehradun,Cyclone,Extreme Heat,2015,19,75
Ranchi,Heatwave,High Humidity,2023,29,300
Jaipur,Building Collapse,Clear,2020,31,250
Surat,Stampede,High Humidity,2021,23,180
Patna,Fire,High Humidity,2011,45,90
Jaipur,Building Collapse,Storm,2003,39,322
Chennai,Landslide,Storm,2011,22,194
Shimla,Earthquake,Storm,2009,39,240
Hyderabad,Landslide,Heavy Rain,2010,35,356
Surat,Heatwave,Monsoon Rain,2006,18,212
Surat,Heatwave,Clear,2015,44,119
Pune,Industrial Accident,Storm,2007,28,314
Patna,Landslide,Cloudy,2005,32,302
Bangalore,Fire,Cloudy,2002,44,319
Lucknow,Earthquake,Thunderstorm,2020,25,65
Shimla,Landslide,Storm,2007,20,352
Delhi,Earthquake,High Humidity,2018,20,361
Nagpur,Earthquake,Heavy Rain,2003,36,328
Guwahati,Cyclone,Clear,2005,31,266
Delhi,Industrial Accident,Clear,2016,36,221
Dehradun,Heatwave,Clear,2008,26,340
Hyderabad,Industrial Accident,Clear,2007,38,370
Shimla,Fire,Cloudy,2015,42,51
Visakhapatnam,Flood,Storm,2012,27,121
Nagpur,Industrial Accident,Monsoon Rain,2020,39,44
Kochi,Building Collapse,Monsoon Rain,2021,33,265
Pune,Building Collapse,Monsoon Rain,2009,45,368
Nagpur,Fire,Clear,2010,28,316
Nagpur,Flood,Cloudy,2015,43,53
Hyderabad,Cyclone,Cloudy,2024,45,98
Patna,Heatwave,Clear,2021,37,344
Mumbai,Stampede,Storm,2018,43,275
Delhi,Building Collapse,Clear,2024,40,115
Jaipur,Landslide,Monsoon Rain,2009,25,199
Pune,Industrial Accident,Thunderstorm,2000,22,343
Kolkata,Stampede,Extreme Heat,2013,30,338
Kolkata,Building Collapse,Monsoon Rain,2012,27,203
Chennai,Industrial Accident,Extreme Heat,2002,42,398
Nagpur,Industrial Accident,Clear,2011,27,87
Surat,Stampede,Dry Heat,2022,43,112
Hyderabad,Fire,High Humidity,2003,29,200
Ahmedabad,Landslide,Dry Heat,2010,42,319
Visakhapatnam,Building Collapse,Storm,2004,20,123
Pune,Building Collapse,Cloudy,2006,36,148
Visakhapatnam,Landslide,Extreme Heat,2004,31,142
Surat,Cyclone,Heavy Rain,2000,45,393
Nagpur,Landslide,Heavy Rain,2012,23,343
Nagpur,Cyclone,Extreme Heat,2016,40,103
Pune,Cyclone,Cloudy,2018,38,311
Visakhapatnam,Industrial Accident,Thunderstorm,2002,18,383
Pune,Building Collapse,Heavy Rain,2007,28,8
Patna,Flood,Extreme Heat,2002,26,195
Ranchi,Earthquake,Thunderstorm,2020,32,267
Lucknow,Cyclone,Clear,2019,28,345
Patna,Cyclone,Monsoon Rain,2009,34,208
Mumbai,Building Collapse,Heavy Rain,2018,43,305
Bangalore,Stampede,Dry Heat,2021,29,187
Bangalore,Heatwave,Clear,2022,43,186
Surat,Flood,Clear,2012,22,384
Chennai,Cyclone,Cloudy,2006,44,78
Bangalore,Stampede,Thunderstorm,2013,38,119
Bangalore,Building Collapse,Heavy Rain,2020,43,37
Bangalore,Landslide,Storm,2006,43,170
Pune,Cyclone,High Humidity,2004,38,293
Bangalore,Earthquake,Monsoon Rain,2015,32,91
Pune,Stampede,Monsoon Rain,2006,33,335
Dehradun,Heatwave,Heavy Rain,2002,40,78
Delhi,Industrial Accident,Heavy Rain,2013,27,131
Shimla,Earthquake,Cloudy,2014,45,300
Bangalore,Heatwave,Heavy Rain,2018,43,168
Chennai,Cyclone,Dry Heat,2022,36,120
Visakhapatnam,Cyclone,Extreme Heat,2008,33,317
Kolkata,Building Collapse,Extreme Heat,2006,28,324
Mumbai,Landslide,Heavy Rain,2020,36,184
Pune,Stampede,Monsoon Rain,2015,31,188
Visakhapatnam,Fire,Cloudy,2011,26,266
Ahmedabad,Stampede,Heavy Rain,2010,42,337
Kochi,Heatwave,Cloudy,2019,45,316
Mumbai,Cyclone,Clear,2000,31,11
Delhi,Earthquake,Monsoon Rain,2013,21,135
Pune,Flood,Extreme Heat,2019,23,263
Chennai,Stampede,Monsoon Rain,2000,41,365
Visakhapatnam,Building Collapse,Clear,2024,25,105
Ahmedabad,Industrial Accident,Dry Heat,2001,33,124
Kochi,Landslide,Thunderstorm,2016,25,301
Bangalore,Stampede,Heavy Rain,2007,21,356
Hyderabad,Cyclone,Storm,2011,20,136
Mumbai,Earthquake,Dry Heat,2011,33,366
Dehradun,Fire,Clear,2000,19,124
Bhopal,Heatwave,Dry Heat,2020,24,346
Nagpur,Cyclone,Dry Heat,2012,20,292
Ahmedabad,Heatwave,Dry Heat,2001,37,347
Jaipur,Fire,Clear,2019,19,362
Chennai,Earthquake,Clear,2007,25,256
Bangalore,Flood,Monsoon Rain,2020,36,13
Bhopal,Industrial Accident,High Humidity,2011,31,354
Surat,Earthquake,Cloudy,2024,29,30
Delhi,Heatwave,Thunderstorm,2003,30,82
Chennai,Industrial Accident,Clear,2010,22,68
Guwahati,Fire,Extreme Heat,2019,22,37
Jaipur,Industrial Accident,Thunderstorm,2023,42,252
Visakhapatnam,Industrial Accident,Cloudy,2017,30,260
Guwahati,Earthquake,Storm,2022,40,275
Bhopal,Industrial Accident,Storm,2011,22,117
Ranchi,Building Collapse,Storm,2015,41,281
Surat,Industrial Accident,Heavy Rain,2021,37,40
Kolkata,Fire,High Humidity,2022,20,322
Visakhapatnam,Stampede,High Humidity,2000,44,249
Lucknow,Industrial Accident,Monsoon Rain,2001,27,346
Hyderabad,Building Collapse,Heavy Rain,2014,21,49
Shimla,Fire,Dry Heat,2024,45,61
Dehradun,Stampede,Cloudy,2012,29,391
Dehradun,Building Collapse,Monsoon Rain,2011,32,371
Chennai,Industrial Accident,Dry Heat,2004,45,344
Kolkata,Landslide,Monsoon Rain,2000,27,393
Guwahati,Building Collapse,Extreme Heat,2013,32,41
Dehradun,Stampede,Heavy Rain,2002,38,104
Bhopal,Industrial Accident,Heavy Rain,2006,32,27
Jaipur,Heatwave,Storm,2001,30,298
Delhi,Earthquake,Cloudy,2018,30,358

